CurrentState,Receiver,Giver,Amount,,,
20,Family 14,Family 3,2,,,
20,Family 14,Family 5,2,,,
20,Family 11,Family 0,2,,,
20,Family 11,Family 1,2,,,
20,Family 11,Family 2,2,,,
20,Family 11,Family 3,2,,,
20,Family 11,Family 5,2,,,
20,Family 11,Family 6,25,,,
20,Family 11,Family 7,15,,,
20,Family 6,Family 11,60,,,
20,Family 7,Family 11,60,,,
20,Family 12,Community,90,,,
20,Family 12,Family 4,5,,,
20,Family 9,Family 3,5,,,
20,Family 10,Family 0,2,,,
20,Family 10,Family 1,2,,,
20,Family 10,Family 2,2,,,
20,Family 10,Family 3,2,,,
20,Family 10,Family 5,2,,,
20,Family 10,Family 6,25,,,
20,Family 10,Family 7,15,,,
20,Family 7,Family 6,20,,,
20,Family 7,Family 3,20,,,
20,Family 7,Family 0,2,,,
20,Family 7,Family 1,2,,,
20,Family 7,Family 2,2,,,
20,Family 7,Family 3,2,,,
20,Family 7,Family 5,2,,,
20,Family 7,Family 6,260,,,
20,Family 8,Family 0,20,,,
20,Family 8,Family 1,5,,,
20,Family 8,Family 2,10,,,
20,Family 8,Community,15,,,
20,Family 6,Family 3,20,,,
20,Family 6,Family 0,2,,,
20,Family 6,Family 1,2,,,
20,Family 6,Family 2,2,,,
20,Family 6,Family 3,2,,,
20,Family 6,Family 5,2,,,
20,Family 4,Community,60,,,
20,Family 5,Family 3,50,,,
20,Family 3,Family 5,15,,,
20,Family 5,Family 3,15,,,
20,Family 5,Family 3,45,,,
20,Family 2,Community,15,,,
20,Family 2,Family 1,10,,,
20,Family 2,Family 0,80,,,
20,Family 1,Family 2,15,,,
20,Family 0,Family 2,15,,,
20,Family 3,Community,15,,,
20,Family 1,Family 0,90,,,
21,Family 33,Family 13,200,,,
21,Family 33,Family 15,200,,,
21,Family 33,Family 25,200,,,
21,Family 33,Community,360,,,
21,Family 33,Family 13,9,,,
21,Family 33,Family 15,9,,,
21,Family 33,Family 25,9,,,
21,Family 34,Family 13,200,,,
21,Family 34,Family 15,200,,,
21,Family 34,Family 25,200,,,
21,Family 34,Community,480,,,
21,Family 34,Family 33,60,,,
21,Family 34,Family 33,10,,,
21,Family 34,Family 13,9,,,
21,Family 34,Family 15,9,,,
21,Family 34,Family 25,9,,,
21,Family 31,Family 20,16,,,
21,Family 31,Family 21,16,,,
21,Family 31,Family 22,16,,,
21,Family 31,Family 23,16,,,
21,Family 31,Family 24,16,,,
21,Family 31,Family 30,30,,,
21,Family 31,Family 29,30,,,
21,Family 29,Family 31,60,,,
21,Family 30,Family 31,30,,,
21,Family 32,Family 20,8,,,
21,Family 32,Family 21,8,,,
21,Family 32,Family 22,8,,,
21,Family 32,Family 23,8,,,
21,Family 32,Family 24,8,,,
21,Family 32,Family 29,30,,,
21,Family 32,Family 30,30,,,
21,Family 32,Family 31,30,,,
21,Family 29,Family 32,30,,,
21,Family 30,Family 32,30,,,
21,Family 31,Family 32,30,,,
21,Family 30,Family 20,16,,,
21,Family 30,Family 21,16,,,
21,Family 30,Family 22,16,,,
21,Family 30,Family 23,16,,,
21,Family 30,Family 24,16,,,
21,Family 29,Family 30,60,,,
21,Family 29,Family 20,22,,,
21,Family 29,Family 21,22,,,
21,Family 29,Family 22,22,,,
21,Family 29,Family 23,22,,,
21,Family 29,Family 24,22,,,
21,Family 27,Family 13,8,,,
21,Family 27,Family 15,8,,,
21,Family 27,Family 25,8,,,
21,Family 27,Family 26,60,,,
21,Family 26,Family 27,120,,,
21,Family 28,Family 13,13,,,
21,Family 28,Family 15,13,,,
21,Family 28,Family 25,13,,,
21,Family 28,Family 26,20,,,
21,Family 28,Family 27,5,,,
21,Family 28,Family 26,45,,,
21,Family 28,Family 27,45,,,
21,Family 26,Family 13,11,,,
21,Family 26,Family 15,11,,,
21,Family 26,Family 25,11,,,
21,Family 24,Family 23,60,,,
21,Family 24,Community,30,,,
21,Family 24,Family 20,5,,,
21,Family 24,Family 20,30,,,
21,Family 24,Family 22,30,,,
21,Family 24,Family 22,30,,,
21,Family 20,Family 24,15,,,
21,Family 21,Family 24,15,,,
21,Family 22,Family 24,15,,,
21,Family 23,Family 24,30,,,
21,Family 20,Family 24,10,,,
21,Family 21,Family 24,10,,,
21,Family 22,Family 24,10,,,
21,Family 23,Family 24,10,,,
21,Family 25,Family 24,10,,,
21,Family 21,Family 25,15,,,
21,Family 22,Family 25,15,,,
21,Family 23,Family 25,30,,,
21,Family 24,Family 25,30,,,
21,Family 25,Family 24,5,,,
21,Family 25,Family 23,5,,,
21,Family 25,Family 22,5,,,
21,Family 25,Community,90,,,
21,Family 23,Community,30,,,
21,Family 23,Family 22,5,,,
21,Family 23,Family 21,5,,,
21,Family 23,Family 20,20,,,
21,Family 22,Family 23,15,,,
21,Family 21,Family 23,15,,,
21,Family 20,Family 23,15,,,
21,Family 23,Family 21,15,,,
21,Family 21,Family 22,15,,,
21,Family 22,Community,15,,,
21,Family 22,Family 20,30,,,
21,Family 20,Family 21,8,,,
21,Family 20,Family 22,8,,,
21,Family 22,Family 20,20,,,
21,Family 22,Community,15,,,
21,Family 22,Community,15,,,
21,Family 19,Family 4,8,,,
21,Family 19,Family 13,8,,,
21,Family 19,Family 15,8,,,
21,Family 19,Family 17,45,,,
21,Family 17,Family 19,45,,,
21,Family 18,Family 19,45,,,
21,Family 20,Community,15,,,
21,Family 17,Family 4,8,,,
21,Family 17,Family 13,8,,,
21,Family 17,Family 15,8,,,
21,Family 18,Family 4,8,,,
21,Family 18,Family 13,8,,,
21,Family 18,Family 15,8,,,
21,Family 18,Family 17,45,,,
21,Family 15,Family 13,10,,,
21,Family 15,Community,45,,,
21,Family 16,Family 0,2,,,
21,Family 16,Family 1,2,,,
21,Family 16,Family 2,2,,,
21,Family 16,Family 3,2,,,
21,Family 16,Family 5,2,,,
21,Family 16,Family 3,20,,,
21,Family 16,Family 6,120,,,
21,Family 16,Family 7,15,,,
21,Family 6,Family 16,24,,,
21,Family 7,Family 16,24,,,
21,Family 10,Family 16,24,,,
21,Family 11,Family 16,24,,,
21,Family 13,Family 16,24,,,
21,Family 13,Community,30,,,
21,Family 14,Family 11,30,,,
21,Family 14,Family 0,2,,,
21,Family 14,Family 1,2,,,
21,Family 14,Family 2,2,,,
21,Family 14,Family 3,2,,,
21,Family 14,Family 5,2,,,
21,Family 11,Family 0,2,,,
21,Family 11,Family 1,2,,,
21,Family 11,Family 2,2,,,
21,Family 11,Family 3,2,,,
21,Family 11,Family 5,2,,,
21,Family 11,Family 6,25,,,
21,Family 11,Family 7,15,,,
21,Family 6,Family 11,60,,,
21,Family 7,Family 11,60,,,
21,Family 12,Community,90,,,
21,Family 12,Family 4,5,,,
21,Family 9,Family 3,5,,,
21,Family 10,Family 0,2,,,
21,Family 10,Family 1,2,,,
21,Family 10,Family 2,2,,,
21,Family 10,Family 3,2,,,
21,Family 10,Family 5,2,,,
21,Family 10,Family 6,25,,,
21,Family 10,Family 7,15,,,
21,Family 7,Family 6,20,,,
21,Family 7,Family 3,20,,,
21,Family 7,Family 0,2,,,
21,Family 7,Family 1,2,,,
21,Family 7,Family 2,2,,,
21,Family 7,Family 3,2,,,
21,Family 7,Family 5,2,,,
21,Family 7,Family 6,260,,,
21,Family 8,Family 0,20,,,
21,Family 8,Family 1,5,,,
21,Family 8,Family 2,10,,,
21,Family 8,Community,15,,,
21,Family 6,Family 3,20,,,
21,Family 6,Family 0,2,,,
21,Family 6,Family 1,2,,,
21,Family 6,Family 2,2,,,
21,Family 6,Family 3,2,,,
21,Family 6,Family 5,2,,,
21,Family 4,Community,60,,,
21,Family 5,Family 3,50,,,
21,Family 3,Family 5,15,,,
21,Family 5,Family 3,15,,,
21,Family 5,Family 3,45,,,
21,Family 2,Community,15,,,
21,Family 2,Family 1,10,,,
21,Family 2,Family 0,80,,,
21,Family 1,Family 2,15,,,
21,Family 0,Family 2,15,,,
21,Family 3,Community,15,,,
21,Family 1,Family 0,90,,,
